PMID	PubMed Link	Title
30541217	https://pubmed.ncbi.nlm.nih.gov/30541217	[Effects of berberine on the serum cystatin C levels and urine albumin/creatine ratio in patients with type 2 diabetes mellitus].
30557816	https://pubmed.ncbi.nlm.nih.gov/30557816	Identification of novel PPARα/γ dual agonists by pharmacophore screening, docking analysis, ADMET prediction and molecular dynamics simulations.
30562745	https://pubmed.ncbi.nlm.nih.gov/30562745	MACROD1/LRP16 Enhances LPS-Stimulated Inflammatory Responses by Up-Regulating a Rac1-Dependent Pathway in Adipocytes.
30599058	https://pubmed.ncbi.nlm.nih.gov/30599058	Protein markers and risk of type 2 diabetes and prediabetes: a targeted proteomics approach in the KORA F4/FF4 study.
30618040	https://pubmed.ncbi.nlm.nih.gov/30618040	An observational study of the risk of neonatal macrosomia, and early gestational diabetes associated with selected candidate genes for type 2 diabetes mellitus polymorphisms in women with gestational diabetes mellitus.
30641728	https://pubmed.ncbi.nlm.nih.gov/30641728	Serum cystatin C as an indicator for early detection of diabetic nephropathy in type 2 diabetes mellitus.
30669719	https://pubmed.ncbi.nlm.nih.gov/30669719	[Relationships between serum cystatin C, chemerin levels and subclinical atherosclerosis in type 2 diabetes mellitus patients].
30682341	https://pubmed.ncbi.nlm.nih.gov/30682341	ARL15 overexpression attenuates high glucose-induced impairment of insulin signaling and oxidative stress in human umbilical vein endothelial cells.
30695496	https://pubmed.ncbi.nlm.nih.gov/30695496	[THE BRAIN LEPTIN SIGNALING SYSTEM AND ITS FUNCTIONAL STATE IN METABOLIC SYNDROME AND TYPE 2 DIABETES MELLITIS].
30708140	https://pubmed.ncbi.nlm.nih.gov/30708140	Identification and characterization of differentially expressed genes in Type 2 Diabetes using in silico approach.
30763457	https://pubmed.ncbi.nlm.nih.gov/30763457	A Whole-Grain Diet Increases Glucose-Stimulated Insulin Secretion Independent of Gut Hormones in Adults at Risk for Type 2 Diabetes.
30863203	https://pubmed.ncbi.nlm.nih.gov/30863203	TNF-<i>α</i> Downregulation Modifies Insulin Receptor Substrate 1 (IRS-1) in Metabolic Signaling of Diabetic Insulin-Resistant Hepatocytes.
30875909	https://pubmed.ncbi.nlm.nih.gov/30875909	Molecular Mechanisms of Hypothalamic Insulin Resistance.
30884193	https://pubmed.ncbi.nlm.nih.gov/30884193	IRS1- rs10498210 G/A and CCR5-59029 A/G polymorphisms in patients with type 2 diabetes in Kurdistan.
30888221	https://pubmed.ncbi.nlm.nih.gov/30888221	Effects of aerobic versus resistance training on serum fetuin-A, fetuin-B, and fibroblast growth factor-21 levels in male diabetic patients.
30888963	https://pubmed.ncbi.nlm.nih.gov/30888963	Association of IRS1 genetic variants with glucose control and insulin resistance in type 2 diabetic patients from Bosnia and Herzegovina.
30890475	https://pubmed.ncbi.nlm.nih.gov/30890475	ε3/4 genotype of the apolipoprotein E is associated with higher risk of Alzheimer's disease in patients with type 2 diabetes mellitus.
30935545	https://pubmed.ncbi.nlm.nih.gov/30935545	Propolis supplementation improves glycemic and antioxidant status in patients with type 2 diabetes: A randomized, double-blind, placebo-controlled study.
30974901	https://pubmed.ncbi.nlm.nih.gov/30974901	Mechanisms of Adiponectin Action: Implication of Adiponectin Receptor Agonism in Diabetic Kidney Disease.
31004310	https://pubmed.ncbi.nlm.nih.gov/31004310	Novel insights of elevated systemic levels of bisphenol-A (BPA) linked to poor glycemic control, accelerated cellular senescence and insulin resistance in patients with type 2 diabetes.
31011584	https://pubmed.ncbi.nlm.nih.gov/31011584	Cystatin C Is an Important Biomarker for Cardiovascular Autonomic Dysfunction in Chinese Type 2 Diabetic Patients.
31080207	https://pubmed.ncbi.nlm.nih.gov/31080207	Paraoxonase 1 gene (Q192R) polymorphism confers susceptibility to coronary artery disease in type 2 diabetes patients: Evidence from case-control studies.
31102685	https://pubmed.ncbi.nlm.nih.gov/31102685	The most effective polymorphisms of paraoxonase-1 gene on enzyme activity and concentration of paraoxonase-1 protein in type 2 diabetes mellitus patients and non-diabetic individuals: A systematic review and meta-analysis.
31172973	https://pubmed.ncbi.nlm.nih.gov/31172973	The implication of adipocyte ATP-binding cassette A1 and G1 transporters in metabolic complications of obesity.
8579484	https://pubmed.ncbi.nlm.nih.gov/8579484	[Suppressed increase of C3 receptors on polymorphonuclear leukocytes by stimulation with C5a in diabetes mellitus].
